,Date,Sunspots,Groups,Wolf
878,1868-10-25,2,1,12
879,1868-10-27,9,1,19
880,1868-10-28,5,1,15
881,1868-10-29,4,2,24
882,1868-10-30,7,1,17
883,1868-11-01,2,1,12
884,1868-11-02,4,1,14
885,1868-11-03,2,1,12
886,1868-11-09,2,1,12
887,1868-11-10,4,1,14
888,1868-11-11,2,1,12
889,1868-11-14,12,1,22
890,1868-11-15,6,1,16
891,1868-11-17,2,1,12
892,1868-11-19,1,1,11
893,1868-11-20,1,1,11
894,1868-11-21,2,1,12
895,1868-11-22,3,2,23
896,1868-11-25,1,1,11
897,1868-11-26,1,1,11
898,1868-11-28,1,1,11
899,1868-11-29,3,1,13
900,1868-12-02,1,1,11
901,1868-12-05,1,1,11
902,1868-12-06,5,1,15
903,1868-12-08,1,1,11
904,1868-12-09,1,1,11
905,1868-12-10,1,1,11
906,1868-12-13,8,2,28
907,1868-12-17,11,1,21
908,1868-12-19,1,1,11
909,1868-12-22,6,1,16
910,1868-12-24,5,2,25
911,1868-12-25,5,2,25
912,1868-12-31,2,2,22
913,1869-01-01,5,2,25
914,1869-01-04,3,1,13
915,1869-01-06,1,1,11
916,1869-01-07,2,1,12
917,1869-01-13,9,3,39
918,1869-01-14,1,1,11
919,1869-01-18,5,1,15
920,1869-01-20,1,1,11
921,1869-01-22,1,1,11
922,1869-01-24,2,1,12
923,1869-01-25,1,1,11
924,1869-01-29,9,2,29
925,1869-01-30,13,1,23
926,1869-01-31,1,1,11
927,1869-02-03,8,3,38
