,Date,Group,Spot,SN
775,1829-01-29,5,7,57
776,1829-02-01,4,8,48
777,1829-02-02,4,14,54
778,1829-02-04,6,15,75
779,1829-02-05,5,14,64
780,1829-02-07,5,18,68
781,1829-02-08,4,9,49
782,1829-02-09,4,6,46
783,1829-02-11,2,2,22
784,1829-02-12,2,2,22
785,1829-02-17,2,4,24
786,1829-02-18,3,6,36
787,1829-02-19,2,4,24
788,1829-02-20,2,4,24
789,1829-02-21,1,3,13
790,1829-02-22,3,7,37
791,1829-02-24,2,3,23
792,1829-02-25,4,5,45
793,1829-02-26,3,4,34
794,1829-02-27,2,3,23
795,1829-02-28,4,11,51
796,1829-03-01,5,13,63
797,1829-03-05,4,11,51
798,1829-03-06,5,16,66
799,1829-03-07,6,15,75
800,1829-03-09,6,17,77
801,1829-03-11,4,9,49
802,1829-03-12,4,10,50
803,1829-03-14,4,11,51
804,1829-03-15,4,18,58
805,1829-03-16,3,12,42
806,1829-03-17,4,14,54
807,1829-03-18,4,14,54
808,1829-03-19,4,8,48
809,1829-03-20,3,11,41
810,1829-03-21,2,5,25
811,1829-03-22,4,13,53
812,1829-03-24,2,10,30
813,1829-03-25,5,14,64
814,1829-03-26,4,12,52
815,1829-03-27,4,10,50
816,1829-03-28,5,23,73
817,1829-03-29,5,13,63
818,1829-03-30,7,19,89
819,1829-03-31,8,27,107
820,1829-04-01,7,26,96
821,1829-04-02,8,29,109
822,1829-04-03,8,19,99
823,1829-04-04,8,19,99
824,1829-04-05,8,23,103
825,1829-04-07,4,10,50
826,1829-04-08,4,17,57
827,1829-04-09,5,14,64
828,1829-04-10,4,9,49
829,1829-04-11,5,11,61
830,1829-04-12,4,13,53
831,1829-04-13,5,14,64
832,1829-04-14,6,15,75
833,1829-04-15,7,31,101
834,1829-04-16,6,13,73
835,1829-04-18,3,6,36
836,1829-04-19,4,16,56
837,1829-04-20,5,14,64
838,1829-04-21,8,28,108
839,1829-04-23,6,10,70
840,1829-04-26,6,17,77
841,1829-04-27,7,24,94
842,1829-04-28,7,19,89
843,1829-04-30,8,21,101
844,1829-05-01,8,13,93
845,1829-05-02,8,16,96
846,1829-05-03,10,19,119
847,1829-05-05,6,12,72
848,1829-05-06,6,8,68
849,1829-05-07,3,5,35
850,1829-05-08,4,4,44
851,1829-05-10,3,8,38
852,1829-05-11,5,9,59
853,1829-05-12,4,12,52
854,1829-05-13,4,8,48
855,1829-05-15,3,7,37
856,1829-05-16,3,6,36
857,1829-05-17,4,9,49
858,1829-05-18,4,7,47
859,1829-05-19,3,6,36
860,1829-05-20,3,6,36
861,1829-05-21,2,3,23
862,1829-05-22,2,3,23
863,1829-05-23,3,8,38
864,1829-05-24,2,5,25
865,1829-05-26,3,7,37
866,1829-05-27,3,7,37
867,1829-05-28,4,9,49
868,1829-05-29,5,12,62
869,1829-05-30,5,12,62
870,1829-05-31,3,9,39
871,1829-06-01,2,7,27
872,1829-06-04,3,10,40
873,1829-06-05,3,13,43
874,1829-06-08,3,8,38
875,1829-06-10,1,1,11
876,1829-06-11,2,5,25
877,1829-06-12,3,9,39
878,1829-06-13,4,11,51
879,1829-06-14,3,8,38
880,1829-06-15,5,17,67
881,1829-06-16,4,12,52
882,1829-06-17,4,10,50
883,1829-06-18,5,10,60
884,1829-06-21,5,10,60
885,1829-06-22,6,13,73
886,1829-06-23,6,20,80
887,1829-06-24,7,15,85
888,1829-06-25,7,22,92
889,1829-06-26,7,22,92
890,1829-06-27,6,22,82
891,1829-06-28,6,25,85
892,1829-06-30,6,11,71
893,1829-07-01,7,23,93
894,1829-07-02,7,17,87
895,1829-07-03,6,19,79
896,1829-07-04,8,18,98
897,1829-07-07,6,27,87
898,1829-07-10,3,9,39
899,1829-07-11,4,12,52
900,1829-07-13,5,11,61
901,1829-07-14,5,7,57
902,1829-07-15,6,15,75
903,1829-07-17,4,10,50
904,1829-07-18,6,18,78
905,1829-07-19,6,16,76
906,1829-07-21,5,13,63
907,1829-07-24,5,7,57
908,1829-07-25,5,7,57
909,1829-07-26,4,8,48
910,1829-07-27,3,6,36
911,1829-07-28,5,7,57
912,1829-07-29,5,11,61
913,1829-07-30,7,16,86
914,1829-08-03,5,8,58
915,1829-08-05,5,5,55
916,1829-08-06,4,5,45
